Rank,NCTId,BriefTitle,Condition,OverallStatus,LeadSponsorClass,LeadSponsorName,InterventionName,InterventionType,Keyword
16,NCT04474483,Safety and Efficacy of Melatonin in Outpatients Infected With COVID-19,COVID-19,Not yet recruiting,OTHER,State University of New York at Buffalo,Melatonin|Placebo (Methylcellulose) capsule,Drug|Other,Melatonin|COVID-19|SARS-CoV-2
19,NCT04369742,Treating COVID-19 With Hydroxychloroquine (TEACH),COVID-19,Suspended,OTHER,NYU Langone Health,Hydroxychloroquine (HCQ)|Pacebo: Calcium citrate,Drug|Other,
23,NCT04352946,HEalth Care Worker pROphylaxis Against COVID-19: The HERO Trial,Prophylaxis|COVID-19|Health Care Worker|Hydroxychloroquine,Not yet recruiting,OTHER,GeoSentinel Foundation,Hydroxychloroquine Pre-Exposure Prophylaxis|Placebo oral tablet,Drug|Drug,
24,NCT04366089,Oxygen-Ozone as Adjuvant Treatment in Early Control of COVID-19 Progression and Modulation of the Gut Microbial Flora,"COVID|SARS-CoV 2|Pneumonia, Viral|Coronavirus Infection",Recruiting,OTHER,"Roberto Poscia MD, PhD","Oxygen-ozone therapy, probiotic supplementation and Standard of care|SivoMixx (200 billion)|Azithromycin|hydroxychloroquine",Other|Dietary Supplement|Drug|Drug,Oxygen-ozone therapy|gut microbiota
25,NCT04370782,Hydroxychloroquine and Zinc With Either Azithromycin or Doxycycline for Treatment of COVID-19 in Outpatient Setting,COVID-19,Recruiting,OTHER,"St. Francis Hospital, New York",Hydroxychloroquine|Azithromycin|Zinc Sulfate|Doxycycline,Drug|Drug|Drug|Drug,coronavirus|hydroxychloroquine|zinc sulfate
26,NCT04359810,Plasma Therapy of COVID-19 in Critically Ill Patients,SARS-CoV Infection,Recruiting,OTHER,Max R. O'Donnell,Convalescent Plasma (anti-SARS-CoV-2 plasma)|Non-convalescent Plasma (control plasma),Biological|Biological,COVID-19|COVID|Coronavirus|Convalescent plasma
27,NCT04381052,Study for the Use of the IL-6 Inhibitor Clazakizumab in Patients With Life-threatening COVID-19 Infection,COVID-19,Not yet recruiting,OTHER,Columbia University,Clazakizumab|Placebo,Drug|Other,Coronavirus|SARS-COVID-2
29,NCT04353037,PATCH 2&3:Prevention & Treatment of COVID-19 (Severe Acute Respiratory Syndrome Coronavirus 2) With Hydroxychloroquine,Coronavirus|Corona Virus Infection,Recruiting,INDUSTRY,UnitedHealth Group,Group A HCQ|Group B Control,Drug|Drug,
30,NCT04393805,Heparins for Thromboprophylaxis in COVID-19 Patients: HETHICO Study in Veneto,COVID-19|Hypercoagulability,Recruiting,OTHER,Quovadis Associazione,Low Molecular Weight Heparin,Drug,COVID-19 pandemic|Hypercoagulability state|Thromboprophylaxis|Heparin
31,NCT04343989,A Randomized Placebo-controlled Safety and Dose-finding Study for the Use of the IL-6 Inhibitor Clazakizumab in Patients With Life-threatening COVID-19 Infection,COVID-19,Recruiting,OTHER,NYU Langone Health,Clazakizumab 25 mg|Clazakizumab 12.5 mg|Placebo,Drug|Drug|Other,
32,NCT04368351,Bacteriotherapy in the Treatment of COVID-19,COVID|Pneumonia|Diarrhea,"Active, not recruiting",OTHER,University of Roma La Sapienza,SivoMixx (200 billion)|Azithromycin|hydroxychloroquine,Dietary Supplement|Drug|Drug,COVID-19 pneumonia|gut-lung axis|microbiome
34,NCT04505774,Anti-thrombotics for Adults Hospitalized With COVID-19 (ACTIV-4),Covid19,Recruiting,OTHER,Matthew Neal MD,theraputic heparin|prophylactic heparin,Drug|Drug,anti-coagulation|antithrombosis|anticoagulation|ACTIV|inpatient|heparin
49,NCT04390503,Convalescent Plasma for COVID-19 Close Contacts,SARS-CoV 2|COVID-19,Recruiting,OTHER,Columbia University,Convalescent Plasma (anti-SARS-CoV-2 plasma)|Control (albumin 5%),Biological|Biological,Coronavirus|COVID|Convalescent Plasma
53,NCT04512079,FREEDOM COVID-19 Anticoagulation Strategy,COVID-19|SARS-CoV-2,Not yet recruiting,OTHER,Valentin Fuster,Enoxaparin|Apixaban,Drug|Drug,Randomization|Hospitalization|PCR or Antigen Positive Test|Abnormal Laboratory Maker|Anticoagulation|Apixaban
54,NCT04365699,Cardiovascular Effects of COVID-19,COVID-19,Recruiting,OTHER,NYU Langone Health,AT-001,Drug,
55,NCT04406389,Anticoagulation in Critically Ill Patients With COVID-19 (The IMPACT Trial),COVID-19,Recruiting,OTHER,Weill Medical College of Cornell University,Enoxaparin sodium|Unfractionated heparin|Fondapariniux|Argatroban,Drug|Drug|Drug|Drug,COVID-19|Anticoagulation
57,NCT04362124,Performance Evaluation of BCG Vaccination in Healthcare Personnel to Reduce the Severity of SARS-COV-2 Infection,COVID-19,Not yet recruiting,OTHER,Universidad de Antioquia,vaccine BCG|Placebo,Biological|Other,coronavirus|BCG|COVID-19|SARS-COV-2
58,NCT04318444,Hydroxychloroquine Post Exposure Prophylaxis for Coronavirus Disease (COVID-19),COVID-19|Corona Virus Infection,Recruiting,OTHER,Columbia University,Hydroxychloroquine|Placebo oral tablet,Drug|Drug,
59,NCT04374461,A Study of N-acetylcysteine in Patients With COVID-19 Infection,Covid-19,Recruiting,OTHER,Memorial Sloan Kettering Cancer Center,N-acetylcysteine|Peripheral Blood,Drug|Other,N-acetylcysteine|20-168
60,NCT04354870,COVID-19 PrEP HCW HCQ Study,COVID-19,"Active, not recruiting",OTHER,NYU Langone Health,Hydroxychloroquine (HCQ),Drug,
61,NCT04349371,Saved From COVID-19,COVID,Recruiting,OTHER,Columbia University,Chloroquine|Placebo oral tablet,Drug|Drug,SARS-CoV-2|Coronavirus
67,NCT04401423,TXA127 for the Treatment of Severe COVID-19,COVID-19,Recruiting,OTHER,Columbia University,TXA127|Placebo,Drug|Drug,COVID-19|multi-organ failure|acute kidney injury
68,NCT04320277,"Baricitinib in Symptomatic Patients Infected by COVID-19: an Open-label, Pilot Study.",Pharmacological Action,Not yet recruiting,OTHER,Hospital of Prato,Baricitinib,Drug,COVID-19|Baricitinib|Moderate disease|Infection
70,NCT04522817,CLBS119 for Repair of COVID-19 Induced Pulmonary Damage,Covid-19,Not yet recruiting,INDUSTRY,"Caladrius Biosciences, Inc.",CLBS119,Biological,Pneumonia|COVID|SARs-CoV-2|Pulmonary Inflammation|Respiratory Distress Syndrome|Lung Diseases|Lung Injury|Respiratory Tract Diseases|Respiratory Insufficiency|ARDS|pandemic|Corona Virus Infection|Coronavirus
71,NCT04495816,COVID-19 Anosmia Study,Anosmia|Covid19,Recruiting,OTHER,Icahn School of Medicine at Mount Sinai,Omega-3 Fatty Acid Supplement|Placebo/Control,Drug|Drug,Novel Coronavirus|Anosmia|Smell Loss|Parosmia|Fish Oil Supplement|Omega-3 Fatty Acid Supplements
72,NCT04347226,Anti-Interleukin-8 (Anti-IL-8) for Patients With COVID-19,Solid Tumor|Sars-CoV2|Hematological Malignancy,Recruiting,OTHER,Matthew Dallos,BMS-986253,Drug,COVID-19|coronavirus|corona virus|COVID
74,NCT04359277,A Randomized Trial of Anticoagulation Strategies in COVID-19,COVID-19,Recruiting,OTHER,NYU Langone Health,Enoxaparin Higher Dose|Lower-dose prophylactic anticoagulation,Drug|Drug,
77,NCT04344236,Gargling and Nasal Rinses to Reduce Oro- and Nasopharyngeal Viral Load in Patients With COVID-19,COVID-19,Recruiting,OTHER,NYU Langone Health,Saline oral/nasal rinse|0.5% Povidone/Iodine oral/nasal rinse|0.12% Chlorhexidine oral/nasal rinse,Drug|Drug|Drug,
78,NCT04377659,Tocilizumab for Prevention of Respiratory Failure in Patients With Severe COVID-19 Infection,COVID-19,Recruiting,OTHER,Memorial Sloan Kettering Cancer Center,Tocilizumab,Drug,COVD-19|Tocilizumab|Respiratory infection|20-185|Memorial Sloan Kettering Cancer Center
83,NCT04505592,Tenecteplase in Patients With COVID-19,COVID-19|Respiratory Failure|ARDS,Recruiting,OTHER,Hooman Poor,Tenecteplase|Placebo,Drug|Drug,COVID-19|ARDS|thrombolysis|tenecteplase
84,NCT04366830,"Intermediate-size Expanded Access Program (EAP), Mesenchymal Stromal Cells (MSC) for Acute Respiratory Distress Syndrome (ARDS) Due to COVID-19 Infection",Moderate to Severe Acute Respiratory Distress Syndrome Associated With COVID-19,No longer available,INDUSTRY,Mesoblast International Sàrl,Remestemcel-L,Drug,ARDS|COVID-19|Coronavirus|MSC|remestemcel-L|Mesoblast|mesenchymal
85,NCT04379492,A Study of Hydroxycholoroquine Compared to Placebo as Treatment for People With COVID-19,COVID-19|COVID19|Sars-CoV2|SARS-Cov-2,Withdrawn,OTHER,Memorial Sloan Kettering Cancer Center,Hydroxychloroquine|Placebo,Drug|Other,Sars-CoV2|SARS-Cov-2|COVID-19|COVID19|Hydroxycholoroquine|Memorial Sloan Kettering Cancer Center|20-187
86,NCT04388709,Interferon Lambda Therapy for COVID-19,SARS-CoV-2,Not yet recruiting,OTHER,Icahn School of Medicine at Mount Sinai,Peginterferon Lambda-1A,Drug,Peginterferon lambda-1a|Lambda|SARS-CoV-2
87,NCT04367831,Intermediate or Prophylactic-Dose Anticoagulation for Venous or Arterial Thromboembolism in Severe COVID-19,COVID-19|Venous Thromboses|Arterial Thrombosis,Recruiting,OTHER,Columbia University,Enoxaparin Prophylactic Dose|Heparin Infusion|Heparin SC|Enoxaparin/Lovenox Intermediate Dose,Drug|Drug|Drug|Drug,COVID-19|coronavirus|anticoagulation
89,NCT04494646,BARCONA: A Study of Effects of Bardoxolone Methyl in Participants With SARS-Corona Virus-2 (COVID-19),Covid19,Recruiting,OTHER,NYU Langone Health,Bardoxolone methyl|Placebo,Drug|Drug,Bardoxolone Methyl
93,NCT04412746,Covid-19 and Diabetes in West of Algeria,Coronavirus Infections|Diabetes Mellitus|Prevalence|Risk Factors|Patient Outcome Assessment|Severe Acute Respiratory Syndrome,Recruiting,NETWORK,"Laboratoire De Recherche Sur Le Diabete, Université de Tlemcen",MANAGEMENT OF COVID-19,Drug,COVID-19|DIABETES|RISK FACTORS|SEVERE ILLNESS|OUTCOMES
